,Alameda,Alpine,Amador,Butte,Calaveras,Colusa ,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino ,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas ,Riverside,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta ,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Above Poverty value,0.900888246331483,0.80269489894129,0.900547550432277,0.809287976337061,0.885751703624781,0.869599962393645,0.912969369137161,0.805301047120419,0.916171868301466,0.774531224657826,0.824940047961631,0.798814336571532,0.759115232005439,0.906901264092928,0.790023858273688,0.818004490081337,0.813908197032791,0.865302237029986,0.850893358121895,0.800642889734876,0.927722565575159,0.848092445270309,0.82200877643434,0.788033949558286,0.81192607230036,0.879281183932347,0.869336798916125,0.922161924317982,0.889555431073993,0.891383798666765,0.92258665438714,0.878695320170176,0.862965759028287,0.853282502625736,0.915723040031972,0.840468609979122,0.884121318181186,0.896640076901733,0.854935529041505,0.875004697517456,0.932891151904953,0.864590685374966,0.924836525480931,0.868741991579718,0.8330837219329,0.90341851974776,0.81190509355992,0.904542922141232,0.907778838148998,0.848851651279233,0.845259919506079,0.779386145513288,0.809676642862874,0.76213211277856,0.87249663579514,0.910628337444027,0.809202665111699,0.845213413410736
Above Poverty rank,0.775862068965517,0.155172413793103,0.758620689655172,0.206896551724138,0.689655172413793,0.586206896551724,0.879310344827586,0.172413793103448,0.913793103448276,0.0517241379310345,0.327586206896552,0.120689655172414,0.0172413793103448,0.827586206896552,0.103448275862069,0.293103448275862,0.275862068965517,0.53448275862069,0.448275862068966,0.137931034482759,0.982758620689655,0.413793103448276,0.310344827586207,0.0862068965517241,0.258620689655172,0.655172413793103,0.568965517241379,0.931034482758621,0.706896551724138,0.724137931034483,0.948275862068966,0.637931034482759,0.5,0.46551724137931,0.896551724137931,0.362068965517241,0.672413793103448,0.741379310344828,0.482758620689655,0.620689655172414,1,0.517241379310345,0.96551724137931,0.551724137931034,0.344827586206897,0.793103448275862,0.241379310344828,0.810344827586207,0.844827586206897,0.431034482758621,0.396551724137931,0.0689655172413793,0.224137931034483,0.0344827586206897,0.603448275862069,0.862068965517241,0.189655172413793,0.379310344827586
Employed value,0.766257837230947,0.614391143911439,0.578956499110899,0.682537820229682,0.637900186531653,0.719763115936527,0.756274290589141,0.521664275466284,0.717579250720461,0.693681740801623,0.657520505104148,0.707738677643195,0.607628327635864,0.757063737914203,0.656625197612978,0.618642522938567,0.639704335016835,0.389744510798797,0.73662608671056,0.63086396638166,0.762670757635556,0.684530938123753,0.705913814180929,0.673808570284341,0.587026591458501,0.834256926952141,0.695047572578678,0.782414796201342,0.707821478958054,0.754459634343663,0.747523052464229,0.658161865569273,0.699479023675988,0.728446054758522,0.766592267631289,0.68871695045075,0.758275822577402,0.821379121104407,0.69358630382011,0.704270793459835,0.800029700617773,0.738233437833028,0.771170708265849,0.733406953276722,0.676062437801777,0.699469652327637,0.65390156062425,0.738134200508721,0.776022990099384,0.704584244181289,0.689982306849777,0.662113361595227,0.598729558048385,0.669317953046801,0.625696064706797,0.76049418897508,0.67709042375709,0.677497494153024
Employed rank,0.879310344827586,0.120689655172414,0.0517241379310345,0.396551724137931,0.189655172413793,0.655172413793103,0.793103448275862,0.0344827586206897,0.637931034482759,0.482758620689655,0.258620689655172,0.603448275862069,0.103448275862069,0.810344827586207,0.241379310344828,0.137931034482759,0.206896551724138,0.0172413793103448,0.706896551724138,0.172413793103448,0.862068965517241,0.413793103448276,0.586206896551724,0.327586206896552,0.0689655172413793,1,0.5,0.948275862068966,0.620689655172414,0.775862068965517,0.758620689655172,0.275862068965517,0.53448275862069,0.672413793103448,0.896551724137931,0.431034482758621,0.827586206896552,0.982758620689655,0.46551724137931,0.551724137931034,0.96551724137931,0.741379310344828,0.913793103448276,0.689655172413793,0.344827586206897,0.517241379310345,0.224137931034483,0.724137931034483,0.931034482758621,0.568965517241379,0.448275862068966,0.293103448275862,0.0862068965517241,0.310344827586207,0.155172413793103,0.844827586206897,0.362068965517241,0.379310344827586
Per Capita Income value,47314,36739,31987,29506,33456,26932,48178,23674,42749,24422,22668,28769,18018,32590,23326,22373,27362,22134,34156,22853,72466,28757,29035,23011,22843,34552,30073,45195,39233,41514,43759,35198,28596,32751,33174,25215,38073,68883,27521,37233,61545,36039,56248,41312,29720,33747,28615,35400,42178,26258,27371,24301,26523,21380,34702,38595,34515,25583
Per Capita Income rank,0.913793103,0.724137931,0.5,0.448275862,0.568965517,0.293103448,0.931034483,0.172413793,0.862068966,0.206896552,0.086206897,0.413793103,0.017241379,0.517241379,0.155172414,0.068965517,0.310344828,0.051724138,0.603448276,0.120689655,1,0.396551724,0.431034483,0.137931034,0.103448276,0.637931034,0.482758621,0.896551724,0.793103448,0.827586207,0.879310345,0.672413793,0.362068966,0.534482759,0.551724138,0.224137931,0.75862069,0.982758621,0.344827586,0.74137931,0.965517241,0.706896552,0.948275862,0.810344828,0.465517241,0.586206897,0.379310345,0.689655172,0.844827586,0.25862069,0.327586207,0.189655172,0.275862069,0.034482759,0.655172414,0.775862069,0.620689655,0.24137931
Bachelor's Education or Higher value,0.474224456834109,0.345454545454545,0.192672058095395,0.272180002576114,0.183195592286501,0.150032901952182,0.423535718731977,0.147984117287721,0.342959103248971,0.211738397085429,0.141552002673946,0.30415409407006,0.152190692395006,0.271660102999091,0.163804692831337,0.14669163545568,0.155343988282428,0.129471589652885,0.325412105164955,0.145518676879223,0.594917096894482,0.245598591549296,0.244448028384808,0.137903085018829,0.151928783382789,0.288203888385212,0.247058055341933,0.357258483247305,0.372460526315789,0.405864351252338,0.397112393998454,0.237032944264107,0.223055269384801,0.308502012483229,0.197289388572309,0.209891753416949,0.388050054950411,0.580610645305107,0.187622337979057,0.353770312988134,0.50980246331332,0.34160571736001,0.524001504167172,0.408394444444444,0.221649647497708,0.179338842975207,0.231771984091913,0.269134900016134,0.355071052060315,0.170685570940499,0.182416248842334,0.156624857468643,0.195186351172946,0.146293914523993,0.20508909548712,0.337939755781852,0.414238239305253,0.170570232964837
Bachelor's Education or Higher rank,0.931034482758621,0.741379310344828,0.344827586206897,0.603448275862069,0.310344827586207,0.137931034482759,0.913793103448276,0.120689655172414,0.724137931034483,0.431034482758621,0.0517241379310345,0.637931034482759,0.172413793103448,0.586206896551724,0.224137931034483,0.103448275862069,0.189655172413793,0.0172413793103448,0.672413793103448,0.0689655172413793,1,0.53448275862069,0.517241379310345,0.0344827586206897,0.155172413793103,0.620689655172414,0.551724137931034,0.793103448275862,0.810344827586207,0.862068965517241,0.844827586206897,0.5,0.46551724137931,0.655172413793103,0.379310344827586,0.413793103448276,0.827586206896552,0.982758620689655,0.327586206896552,0.758620689655172,0.948275862068966,0.706896551724138,0.96551724137931,0.879310344827586,0.448275862068966,0.275862068965517,0.482758620689655,0.568965517241379,0.775862068965517,0.258620689655172,0.293103448275862,0.206896551724138,0.362068965517241,0.0862068965517241,0.396551724137931,0.689655172413793,0.896551724137931,0.241379310344828
High School Enrollment value,0.952939587799402,0.933004926108374,0.950658772070198,0.950616548519688,0.953007264359518,0.935109855312515,0.940904819414544,0.941435673395601,0.943606568080175,0.934200782257481,0.933751352965327,0.957287023607937,0.923638991020808,0.953106143325096,0.928210641597255,0.918579766536965,0.944988111220743,0.94721653635784,0.945238828226169,0.924908905996376,0.947094803643068,0.964380648591175,0.948435496889986,0.928113148584678,0.948976049982645,0.95169881946444,0.935017136907258,0.945019920318725,0.95392044100428,0.943748694549616,0.943989676895374,0.963725490196078,0.934426639312467,0.943852494778118,0.930918049167054,0.93268316166679,0.947930041050381,0.972345722609694,0.933072660003561,0.958871859808459,0.951602456848627,0.947310050478872,0.947484174594605,0.951635621370412,0.94916214684692,0.964577656675749,0.951750416765897,0.94527058713187,0.949644865740922,0.933587403161516,0.935199826708545,0.937549702192577,0.958762051365146,0.923961587201194,0.957231149567367,0.939680224568398,0.946819038194378,0.946116558032535
High School Enrollment rank,0.704633204633205,0.426640926640927,0.66023166023166,0.658301158301158,0.706563706563707,0.457528957528958,0.521235521235521,0.530888030888031,0.555984555984556,0.445945945945946,0.438223938223938,0.752895752895753,0.299227799227799,0.708494208494209,0.362934362934363,0.237451737451737,0.573359073359073,0.61003861003861,0.579150579150579,0.314671814671815,0.606177606177606,0.851351351351351,0.631274131274131,0.361003861003861,0.635135135135135,0.683397683397683,0.455598455598456,0.577220077220077,0.716216216216216,0.557915057915058,0.567567567567568,0.837837837837838,0.44980694980695,0.561776061776062,0.401544401544402,0.418918918918919,0.623552123552124,0.886100386100386,0.428571428571429,0.781853281853282,0.677606177606178,0.611969111969112,0.615830115830116,0.681467181467181,0.640926640926641,0.853281853281853,0.685328185328185,0.581081081081081,0.648648648648649,0.436293436293436,0.459459459459459,0.482625482625483,0.776061776061776,0.305019305019305,0.750965250965251,0.505791505791506,0.6003861003861,0.592664092664093
