,Alameda,Alpine,Amador,Butte,Calaveras,Colusa ,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino ,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas ,Riverside,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta ,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Bachelor's Education or Higher value,0.474224456834109,0.345454545454545,0.192672058095395,0.272180002576114,0.183195592286501,0.150032901952182,0.423535718731977,0.147984117287721,0.342959103248971,0.211738397085429,0.141552002673946,0.30415409407006,0.152190692395006,0.271660102999091,0.163804692831337,0.14669163545568,0.155343988282428,0.129471589652885,0.325412105164955,0.145518676879223,0.594917096894482,0.245598591549296,0.244448028384808,0.137903085018829,0.151928783382789,0.288203888385212,0.247058055341933,0.357258483247305,0.372460526315789,0.405864351252338,0.397112393998454,0.237032944264107,0.223055269384801,0.308502012483229,0.197289388572309,0.209891753416949,0.388050054950411,0.580610645305107,0.187622337979057,0.353770312988134,0.50980246331332,0.34160571736001,0.524001504167172,0.408394444444444,0.221649647497708,0.179338842975207,0.231771984091913,0.269134900016134,0.355071052060315,0.170685570940499,0.182416248842334,0.156624857468643,0.195186351172946,0.146293914523993,0.20508909548712,0.337939755781852,0.414238239305253,0.170570232964837
Bachelor's Education or Higher rank,0.931034482758621,0.741379310344828,0.344827586206897,0.603448275862069,0.310344827586207,0.137931034482759,0.913793103448276,0.120689655172414,0.724137931034483,0.431034482758621,0.0517241379310345,0.637931034482759,0.172413793103448,0.586206896551724,0.224137931034483,0.103448275862069,0.189655172413793,0.0172413793103448,0.672413793103448,0.0689655172413793,1,0.53448275862069,0.517241379310345,0.0344827586206897,0.155172413793103,0.620689655172414,0.551724137931034,0.793103448275862,0.810344827586207,0.862068965517241,0.844827586206897,0.5,0.46551724137931,0.655172413793103,0.379310344827586,0.413793103448276,0.827586206896552,0.982758620689655,0.327586206896552,0.758620689655172,0.948275862068966,0.706896551724138,0.96551724137931,0.879310344827586,0.448275862068966,0.275862068965517,0.482758620689655,0.568965517241379,0.775862068965517,0.258620689655172,0.293103448275862,0.206896551724138,0.362068965517241,0.0862068965517241,0.396551724137931,0.689655172413793,0.896551724137931,0.241379310344828
High School Enrollment value,0.952939587799402,0.933004926108374,0.950658772070198,0.950616548519688,0.953007264359518,0.935109855312515,0.940904819414544,0.941435673395601,0.943606568080175,0.934200782257481,0.933751352965327,0.957287023607937,0.923638991020808,0.953106143325096,0.928210641597255,0.918579766536965,0.944988111220743,0.94721653635784,0.945238828226169,0.924908905996376,0.947094803643068,0.964380648591175,0.948435496889986,0.928113148584678,0.948976049982645,0.95169881946444,0.935017136907258,0.945019920318725,0.95392044100428,0.943748694549616,0.943989676895374,0.963725490196078,0.934426639312467,0.943852494778118,0.930918049167054,0.93268316166679,0.947930041050381,0.972345722609694,0.933072660003561,0.958871859808459,0.951602456848627,0.947310050478872,0.947484174594605,0.951635621370412,0.94916214684692,0.964577656675749,0.951750416765897,0.94527058713187,0.949644865740922,0.933587403161516,0.935199826708545,0.937549702192577,0.958762051365146,0.923961587201194,0.957231149567367,0.939680224568398,0.946819038194378,0.946116558032535
High School Enrollment rank,0.704633204633205,0.426640926640927,0.66023166023166,0.658301158301158,0.706563706563707,0.457528957528958,0.521235521235521,0.530888030888031,0.555984555984556,0.445945945945946,0.438223938223938,0.752895752895753,0.299227799227799,0.708494208494209,0.362934362934363,0.237451737451737,0.573359073359073,0.61003861003861,0.579150579150579,0.314671814671815,0.606177606177606,0.851351351351351,0.631274131274131,0.361003861003861,0.635135135135135,0.683397683397683,0.455598455598456,0.577220077220077,0.716216216216216,0.557915057915058,0.567567567567568,0.837837837837838,0.44980694980695,0.561776061776062,0.401544401544402,0.418918918918919,0.623552123552124,0.886100386100386,0.428571428571429,0.781853281853282,0.677606177606178,0.611969111969112,0.615830115830116,0.681467181467181,0.640926640926641,0.853281853281853,0.685328185328185,0.581081081081081,0.648648648648649,0.436293436293436,0.459459459459459,0.482625482625483,0.776061776061776,0.305019305019305,0.750965250965251,0.505791505791506,0.6003861003861,0.592664092664093
Preschool Enrollment value,0.982736513330845,0.987192118226601,0.994212407318504,0.984223139700592,0.992013716554618,0.98392361280265,0.983175414232093,0.985876770111479,0.985527590071709,0.983608981916148,0.990594558280148,0.984403119376125,0.978731958582674,0.986437561059709,0.98614510582354,0.986826014452474,0.989146434174983,0.991510352001611,0.983518755813411,0.986798946609821,0.984340504996954,0.994801819363223,0.985589478182422,0.981527706511213,0.987735739905126,0.997192628851137,0.98647847401987,0.987686291869559,0.987721097951444,0.982638449652844,0.983045957051183,0.984749455337691,0.987172115956521,0.984656119282516,0.9866659775699,0.984521863704658,0.983715857029725,0.984896265560166,0.983528230809457,0.987337350449742,0.981596573797213,0.984249284376766,0.980913797516546,0.987496516348682,0.987203802430873,0.997275204359673,0.991497975708502,0.985556180829113,0.986383602661499,0.984436620666183,0.984577060543702,0.984939221318792,0.994976909989468,0.985817022757831,0.986060663687363,0.982261979363259,0.984589986107675,0.979186065618667
Preschool Enrollment rank,0.303088803088803,0.534749034749035,0.760617760617761,0.370656370656371,0.71042471042471,0.353281853281853,0.318532818532819,0.474903474903475,0.445945945945946,0.33976833976834,0.681467181467181,0.38996138996139,0.196911196911197,0.496138996138996,0.49034749034749,0.527027027027027,0.629343629343629,0.704633204633205,0.33011583011583,0.521235521235521,0.382239382239382,0.774131274131274,0.457528957528958,0.258687258687259,0.557915057915058,0.799227799227799,0.501930501930502,0.552123552123552,0.555984555984556,0.299227799227799,0.312741312741313,0.411196911196911,0.532818532818533,0.401544401544402,0.515444015444015,0.395752895752896,0.343629343629344,0.416988416988417,0.332046332046332,0.540540540540541,0.264478764478765,0.376447876447876,0.250965250965251,0.548262548262548,0.536679536679537,0.801158301158301,0.702702702702703,0.451737451737452,0.494208494208494,0.391891891891892,0.397683397683398,0.420849420849421,0.776061776061776,0.469111969111969,0.486486486486487,0.285714285714286,0.3996138996139,0.204633204633205
PM 2.5 value,8.789539456426159,,8.158545634933526,8.25429281382155,8.725444894106056,7.593515808813824,8.74285275153894,5.831370152117958,7.163380044638196,13.161271281405318,7.663708036198586,6.076671110843864,9.481219958145246,4.415903144509813,13.676800168041408,13.617368873026807,3.8156871613657484,4.973789961357895,11.656358812065328,11.71278833347109,8.339017297815529,8.520506768509401,6.69699032440124,11.665795695362347,4.608053134445135,3.285748551914597,5.465687549343763,9.179751267418293,6.610682083614406,11.298173062758533,7.798450440172131,7.9112205462968666,10.180173023077327,8.74698605125393,4.985027987747617,11.120595437835597,9.602895911189536,8.619570539692873,10.54329094735736,7.359816560972161,8.352425379114116,7.657187222130411,8.219908515410213,6.147464281196904,8.43064620029816,6.421772125,3.4161217456391957,8.478399786649923,7.223082829471493,11.289953858950764,9.174672073954781,6.910439417946112,3.9603831053952407,13.482257891757696,7.439864515608184,9.016888623143513,8.706815234181352,8.260122470040919
PM 2.5 rank,0.30357142857142855,,0.5535714285714286,0.5178571428571429,0.35714285714285715,0.6428571428571429,0.3392857142857143,0.8392857142857143,0.7142857142857143,0.05357142857142857,0.6071428571428571,0.8214285714285714,0.23214285714285715,0.9285714285714286,0,0.017857142857142856,0.9642857142857143,0.8928571428571429,0.10714285714285714,0.07142857142857142,0.48214285714285715,0.4107142857142857,0.75,0.08928571428571429,0.9107142857142857,1,0.8571428571428571,0.25,0.7678571428571429,0.125,0.5892857142857143,0.5714285714285714,0.19642857142857142,0.32142857142857145,0.875,0.16071428571428573,0.21428571428571427,0.39285714285714285,0.17857142857142858,0.6785714285714286,0.4642857142857143,0.625,0.5357142857142857,0.8035714285714286,0.44642857142857145,0.7857142857142857,0.9821428571428571,0.42857142857142855,0.6964285714285714,0.14285714285714285,0.26785714285714285,0.7321428571428571,0.9464285714285714,0.03571428571428571,0.6607142857142857,0.2857142857142857,0.375,0.5
Ozone value,0.03467276370369525,,0.05212549992557917,0.050679503714556595,0.054336020466923395,0.04469812554395451,0.0385869563433078,0.02908535136831292,0.055505971836176636,0.0603873279518483,0.04564411411924508,0.02888435609114548,0.049015290494803986,0.04459074490626918,0.06353028673705145,0.059474438611952285,0.03830400148251421,0.0483346289200219,0.051738949489933427,0.05785503489184242,0.032991415042997865,0.05693591970606946,0.036480212115358186,0.05525287503326214,0.04715952120921053,0.04603644562613554,0.0363695565479826,0.03854266993446219,0.05698518571792753,0.04812494082587644,0.052856682849479066,0.053142429762980385,0.06295399102633314,0.047987727103625,0.04030319694729696,0.0659953445251742,0.045696379881519214,0.03114381913402828,0.04737509139445673,0.03988368864487836,0.033660979904615855,0.03721435900168894,0.03992204874652381,0.03739656586899852,0.04667917110113375,0.05386811999999999,0.04369247385571341,0.04042760145495675,0.03411934946637669,0.05392735674968792,0.04739135991512531,0.049197767845005576,0.04395124036168043,0.06252385432576706,0.056120884063955274,0.04632629314698995,0.046335189209278274,0.047406082780513455
Ozone rank,0.8928571428571429,,0.30357142857142855,0.3392857142857143,0.21428571428571427,0.625,0.7678571428571429,0.9821428571428571,0.17857142857142858,0.07142857142857142,0.6071428571428571,1,0.375,0.6428571428571429,0.017857142857142856,0.08928571428571429,0.8035714285714286,0.39285714285714285,0.32142857142857145,0.10714285714285714,0.9464285714285714,0.14285714285714285,0.8571428571428571,0.19642857142857142,0.5,0.5714285714285714,0.875,0.7857142857142857,0.125,0.4107142857142857,0.2857142857142857,0.26785714285714285,0.03571428571428571,0.42857142857142855,0.7142857142857143,0,0.5892857142857143,0.9642857142857143,0.48214285714285715,0.75,0.9285714285714286,0.8392857142857143,0.7321428571428571,0.8214285714285714,0.5178571428571429,0.25,0.6785714285714286,0.6964285714285714,0.9107142857142857,0.23214285714285715,0.4642857142857143,0.35714285714285715,0.6607142857142857,0.05357142857142857,0.16071428571428573,0.5535714285714286,0.5357142857142857,0.44642857142857145
